API Key,API Key,
API Secret,API Secret,
Address,Adres,
Amount,Bedrag,
Assigned To,Toegewezen Aan,
Assignment,toewijzing,
Auth Token,Verificatie-token,
Color,Kleur,
Columns,columns,
Comment,Commentaar,
Completed,Voltooid,
Condition,Voorwaarde,
Contact,Contact,
Contacts,Contacten,
Content,Inhoud,
Currency,Valuta,
Date,Datum,
Default,Standaard,
Description,Beschrijving,
Details,Details,
DocType,DocType,
Document Type,Soort document,
Due Date,Vervaldatum,
Duration,Looptijd,
Email,E-mail,
Enabled,Ingeschakeld,
End Date,Einddatum,
Expired,Verlopen,
Failed,Gefaald,
Filters,Filters,
First Name,Voornaam,
Friday,Vrijdag,
From,Van,
From Date,Van Datum,
From User,Van gebruiker,
Full Name,Volledige naam,
Gender,Geslacht,
Group By,Groeperen op,
High,Hoog,
ID,ID,
Icon,Icoon,
Image,Afbeelding,
In Progress,Bezig,
Is Default,Is Standaard,
Is Primary,Is primair,
Is Standard,Is Standaard,
Kanban,Kanban,
Key,Sleutel,
Keyboard Shortcuts,Toetsenbord sneltoetsen,
Label,Label,
Last Name,Achternaam,
Left,Links,
List,Lijst,
Log,Log,
Low,Laag,
Medium,Medium,
Mention,Vermelden,
Message,Bericht,
Middle Name,Midden-naam,
Mobile No,Mobiel nummer,
Monday,Maandag,
Naming Series,Benoemen Series,
Note,Opmerking,
Owner,eigenaar,
Pending,In afwachting van,
Phone,Telefoon,
Position,Positie,
Priority,Prioriteit,
Public,Publiek,
Queued,Wachtrij,
Quick Entry,Snelle invoer,
Read,Lezen,
Reference Doctype,Referentie Doctype,
Reference Document Type,Referentie Document Type,
Reference Name,Referentienaam,
Reload,Herladen,
Right,Rechts,
Role,Rol,
Sales Manager,Verkoopsmanager,
Sales User,Sales Gebruiker,
Salutation,Aanhef,
Saturday,Zaterdag,
Script,Script,
Session Defaults,Standaardwaarden sessie,
Source,Bron,
Source Name,Bron naam,
Start Date,Startdatum,
Start Time,Starttijd,
Status,Status,
Sunday,Zondag,
System Manager,System Manager,
Task,Taak,
Thursday,Donderdag,
Title,Titel,
Title Field,Titelveld,
To,Naar,
To Date,Tot Datum,
To User,Naar gebruiker,
Tuesday,Dinsdag,
Twilio Number,Twilio-nummer,
Twilio Settings,Twilio-instellingen,
Type,Type,
User,Gebruiker,
User Name,Gebruikersnaam,
Validity,Geldigheid,
View Website,Bekijk Website,
Website,Website,
Wednesday,Woensdag,
blue,blauw,
green,groen,
list,lijst,
orange,oranje,
purple,Purper,
red,rood,
yellow,geel,
