 (New),(Новый),
01/04/2024 11:30 PM,01/04/2024 11:30 PM,
"@John, can you please check this?","@John, не могли бы Вы проверить это?",
A Lead requires either a person's name or an organization's name,"Для лида требуется либо имя человека, либо название организации",
API Key,API ключ,
API Secret,API Секрет,
About,О нас,
Accept,Ответить,
Accept Invitation,Принять приглашение,
Accepted,Принято,
Accepted At,Принято в,
Account SID,SID аккаунта,
Actions,Действия,
Activity,Активность,
Add Column,Добавить колонку,
Add Field,Добавить поле,
Add Filter,Добавить фильтр,
Add Section,Добавить секцию,
Add Sort,Добавить сортировку,
Add Weekly Holidays,Добавить еженедельные выходные,
Add to Holidays,Добавить в праздники,
Address,Адрес,
"Agent is unavailable to take the call, please call after some time.","Оператор не может ответить на звонок, пожалуйста, позвоните через некоторое время.",
Amount,Сумма,
And,И,
Annual Revenue,Годовой доход,
Annual Revenue should be a number,Годовой доход должен быть числом,
Apply,Применить,
Apply On,Применить для,
Apply To,Применить к,
Apps,Приложения,
Are you sure you want to delete this contact?,Вы хотите удалить этот контакт?,
Are you sure you want to delete this organization?,"Вы уверены, что хотите удалить эту организацию?",
Are you sure you want to delete this task?,"Вы уверены, что хотите удалить эту задачу?",
Are you sure you want to reset 'Create Quotation from CRM Deal' Form Script?,"Вы уверены, что хотите сбросить скрипт формы 'Создать заявку из сделки CRM'?",
Assign To,Назначить на,
Assigned To,Назначено,
Assignment,Назначение,
Assignment cleared successfully,Назначение успешно очищено,
Auth Token,Токен авторизации,
BCC,Скрытая копия,
Back,Назад,
Backlog,Бэклог,
Between,Между,
Bulk Edit,Массовое редактирование,
Busy,Занято,
Button,Кнопка,
CC,Копия,
CRM,CRM,
CRM Call Log,Журнал вызовов CRM,
CRM Communication Status,Статус общения CRM,
CRM Contacts,CRM Контакты ,
CRM Deal,CRM Сделки,
CRM Deal Status,CRM Статус сделки,
CRM Fields Layout,CRM Макет полей,
CRM Form Script,CRM Скрипт формы,
CRM Holiday,CRM Праздники,
CRM Holiday List,CRM Праздничный список,
CRM Industry,CRM Индустрия,
CRM Invitation,CRM Приглашение,
CRM Lead,CRM Лид,
CRM Lead Source,CRM Источник лида,
CRM Lead Status,CRM Статус лида,
CRM Notification,CRM Уведомление,
CRM Organization,CRM Организация,
CRM Service Day,CRM День обслуживания,
CRM Service Level Agreement,CRM Соглашение об уровне обслуживания,
CRM Service Level Priority,CRM Приоритет уровня обслуживания,
CRM Status Change Log,CRM Журнал изменений состояния,
CRM Task,CRM Задача,
CRM Territory,CRM Территория,
CRM View Settings,CRM Настройки представления,
CSV,CSV,
Call Details,Детализация звонков,
Call Received By,Вызов принят,
Call with John Doe,Звонок с неизвестным,
Caller,Абонент,
Calling...,Звонок…,
Calls,Звонки,
Cancel,Отмена,
Canceled,Отменен,
Change Status,Изменить статус,
Change image,Изменить изображение,
Choose Existing,Выбрать существующий,
Choose Existing Contact,Выберите существующий контакт,
Choose Existing Organization,Выберите существующую организацию,
Clear,Очистить,
Clear Assignment,Очистить назначения,
Clear Sort,Очистить сортировку,
Clear Table,Очистить таблицу,
Clear all Filter,Очистить весь фильтр,
Close,Закрыть,
Close Date,Дата закрытия,
Collapse,Свернуть,
Color,Цвет,
Column Field,Поле колонки,
Columns,Колонки,
Comment,Комментарий,
Comments,Комментарии,
Communication Status,Статус общения,
Company in ERPNext Site,Компания на сайте ERP,
Completed,Завершен,
Computer,Компьютер,
Condition,Условие,
Contact,Контакт,
Contact Already Exists,Контакт уже существует,
Contact Us,Свяжитесь с нами,
Contact added,Контакт добавлен,
Contact already exists with {0},Контакт уже существует с {0},
Contact not found,Контакт не найден,
Contact removed,Контакт удален,
Contacts,Контакты,
Content,Содержание,
Convert,Конвертировать,
Convert to Deal,Конвертировать в сделку,
Converted,Конвертирован,
Converted successfully,Преобразование прошло успешно,
Create,Создать,
Create Deal,Создать сделку,
Create Email Template,Создайте шаблон электронной почты,
Create Lead,Создать Лида,
Create New,Создать новую,
Create Note,Создать заметку,
Create Task,Создать задачу,
Create View,Создать представление,
Create customer on status change,Создание клиента при изменении статуса,
Create lead,Создать Лида,
Currency,Валюта,
Customer created successfully,Клиент создан успешно,
Date,Дата,
Deal,Сделка,
Deal Owner,Владелец сделки,
Deal Status,Статус сделки,
Deal not found,Сделка не найдена,
Deal owner,Владелец сделки,
Deal updated,Сделка обновлена,
Deals,Сделки,
Default,По умолчанию,
Default Priority,Приоритет по умолчанию,
Default Service Level Agreement already exists for {0},Соглашение об уровне обслуживания по умолчанию уже существует для {0},
Default Views,Виды по умолчанию,
Delete,Удалить,
Delete Task,Удалить задачу,
Delete View,Удалиить представление,
Delete contact,Удалить контакт,
Delete organization,Удалить организацию,
Deleted successfully,Успешно удалено,
Description,Описание,
Desk,Рабочий стол,
Details,Подробности,
Device,Устройство,
Disable,Отключить,
Discard,Отменить,
DocType,ДокТайп,
Docs,Документы,
Doctype,ДокТайп,
Document Type,Тип документа,
Document not found,Документ не найден,
Done,Выполнено,
Download,Загрузить,
Due Date,Срок исполнения,
Duplicate,Дублировать,
Duplicate View,Дублировать представление,
Duration,Продолжительность,
ERPNext,ERP,
ERPNext CRM Settings,Настройки ERP для CRM,
ERPNext Settings,Настройки ERP,
ERPNext Settings updated,Обновлены настройки ERP,
ERPNext Site URL,URL сайта ERP,
ERPNext is not installed in the current site,ERP не установлена на текущем сайте,
ERPNext is not integrated with the CRM,ERP не интегрирована с CRM,
Edit,Редактировать,
Edit Field Layout,Редактирование макета поля,
Edit Note,Изменить заметку,
Edit Profile,Изменить профиль,
Edit Profile Photo,Изменить фото профиля,
Edit Quick Entry Layout,Редактирование макета быстрой записи,
Edit Task,Редактировать задачу,
Edit View,Редактировать представление,
Edit profile,Изменить профиль,
Email,Электронная почта,
Email Sent At,Письмо отправлено на,
Email Templates,Шаблоны электронной почты,
Email from Lead,Электронное письмо от лида,
Emails,Письма,
Empty,Пусто,
Empty - Choose a field to filter by,Пусто - Выберите поле для фильтрации,
Empty - Choose a field to sort by,Пусто - Выберите поле для сортировки,
Enable,Включить,
Enabled,Включено,
End Date,Дата окончания,
End Time,Время окончания,
Equals,Равно,
Error,Ошибка,
Error Updating Deal,Ошибка при обновлении сделки,
Error Updating Lead,Ошибка обновлении лида,
Error updating deal,Ошибка при обновлении сделки,
Error updating lead,Ошибка обновлении лида,
"Error while creating customer in ERPNext, check error log for more details","Ошибка при создании клиента в ERP, проверьте журнал ошибок для получения более подробной информации",
"Error while creating prospect in ERPNext, check error log for more details","Ошибка при создании перспективы в ERP, проверьте журнал ошибок для получения более подробной информации",
